"Target Group";Subcamp;"Original Order Number";Country;"Troop Name";"Kid ID Code"
SC1_G01;1;IST-27230;"The Netherlands";"De Peelspeurders";9w6mNpLl-11
SC1_G01;1;IST-96201;Poland;"Czata wymiata";bV7JjK7c-13
SC1_G01;1;IST-27230;"The Netherlands";"De Peelspeurders";gMQbUcHQ-12
SC1_G01;1;IST-18955;Poland;"Skalne Nietoperze";UY044Y10-12
SC1_G01;1;IST-18955;Poland;"Skalne Nietoperze";A094HnA6-13
SC1_G01;1;IST-96201;Poland;"Czata wymiata";Tqy904Hm-12
SC1_G01;1;IST-10906;Poland;"Czarne Siódemki";8eOaFCCl-1
SC1_G01;1;IST-20119;Poland;"7 DH Arkana";39U89oq5-13
SC1_G01;1;IST-20119;Poland;"7 DH Arkana";E74jjRqF-12
SC1_G01;1;IST-10906;Poland;"Czarne Siódemki";RSF26ZYl-2
SC1_G02;1;IST-69112;"Czech Republic";"Dráčata Štěnovice";Xq9wE0ot-11
SC1_G02;1;IST-13297;"The Netherlands";"Scouting Den Oever";6nQeYuZc-13
SC1_G02;1;IST-27230;"The Netherlands";"De Peelspeurders";weesgv34-2
SC1_G02;1;IST-27230;"The Netherlands";"De Peelspeurders";Hz326sfq-1
SC1_G02;1;IST-13297;"The Netherlands";"Scouting Den Oever";weCGX6Bu-12
SC1_G02;1;IST-16688;"Czech Republic";"Sopka Nová Paka";AR5D1fQ0-11
SC1_G02;1;IST-54674;"Czech Republic";Stopa;79kqyj6r-3
SC1_G02;1;IST-54674;"Czech Republic";Stopa;Y0Fv2PkT-4
SC1_G02;1;IST-16688;"Czech Republic";"Sopka Nová Paka";8dCaQEIt-12
SC1_G02;1;IST-69112;"Czech Republic";"Dráčata Štěnovice";yVMJ5qYv-12
SC1_G03;1;IST-96201;Poland;"Czata wymiata";vtTTJoAH-15
SC1_G03;1;IST-69112;"Czech Republic";"Dráčata Štěnovice";miuuZ8ZG-1
SC1_G03;1;IST-69112;"Czech Republic";"Dráčata Štěnovice";o3WlonnH-2
SC1_G03;1;IST-27230;"The Netherlands";"De Peelspeurders";ZqyDhpGl-24
SC1_G03;1;IST-27230;"The Netherlands";"De Peelspeurders";GvrISzii-23
SC1_G03;1;IST-21179;"Czech Republic";"2. Oddíl (DSS)";Ip7svDuO-6
SC1_G03;1;IST-21179;"Czech Republic";"2. Oddíl (DSS)";X4QsmI85-5
SC1_G03;1;IST-17804;"United States";"Scout Troop 154 (Boys)";lIhE0smi-6
SC1_G03;1;IST-17804;"United States";"Scout Troop 154 (Boys)";gKW6UrJQ-5
SC1_G03;1;IST-96201;Poland;"Czata wymiata";hBUeUdyu-14
SC1_G04;1;IST-18955;Poland;"Skalne Nietoperze";JiwdPI4w-11
SC1_G04;1;IST-18955;Poland;"Skalne Nietoperze";3aJbPcFs-10
SC1_G04;1;IST-27230;"The Netherlands";"De Peelspeurders";MYoIqkrB-22
SC1_G04;1;IST-96201;Poland;"Czata wymiata";r3Tg2uzB-10
SC1_G04;1;IST-12623;"United States";Radioactive;Zrbo4nr7-1
SC1_G04;1;IST-96201;Poland;"Czata wymiata";RsNoJFtE-11
SC1_G04;1;IST-12623;"United States";Radioactive;PZ94y0rO-2
SC1_G04;1;IST-12623;"United States";Radioactive;PAhYHFmM-3
SC1_G04;1;IST-27230;"The Netherlands";"De Peelspeurders";e27RbAyS-21
SC1_G05;1;IST-54674;"Czech Republic";Stopa;R7i0okA1-1
SC1_G05;1;IST-54674;"Czech Republic";Stopa;Ahrya5HT-2
SC1_G05;1;IST-27230;"The Netherlands";"De Peelspeurders";Y2naLF5L-36
SC1_G05;1;IST-27230;"The Netherlands";"De Peelspeurders";ny4hOFYd-35
SC1_G05;1;IST-10906;Poland;"Czarne Siódemki";S72X7VMj-11
SC1_G05;1;IST-10906;Poland;"Czarne Siódemki";hDCa7lnx-12
SC1_G05;1;IST-13297;"The Netherlands";"Scouting Den Oever";2l3Yf9uj-10
SC1_G05;1;IST-13297;"The Netherlands";"Scouting Den Oever";7UgWr9OM-11
SC1_G05;1;IST-45306;GB;"Ulrich Maurach";pf2gIwl5-1
SC1_G06;1;IST-10906;Poland;"Czarne Siódemki";KiA1zzo0-3
SC1_G06;1;IST-20119;Poland;"7 DH Arkana";mDElrMb7-2
SC1_G06;1;IST-20119;Poland;"7 DH Arkana";LahXezqL-3
SC1_G06;1;IST-27230;"The Netherlands";"De Peelspeurders";zhkr6h5x-39
SC1_G06;1;IST-16688;"Czech Republic";"Sopka Nová Paka";BTo7eFne-9
SC1_G06;1;IST-10906;Poland;"Czarne Siódemki";ZCv4doeH-4
SC1_G06;1;IST-27230;"The Netherlands";"De Peelspeurders";B4Q82rrq-40
SC1_G06;1;IST-16688;"Czech Republic";"Sopka Nová Paka";mGTh68tG-10
SC1_G06;1;IST-20119;Poland;"7 DH Arkana";b854bN0C-1
SC1_G07;1;IST-16688;"Czech Republic";"Sopka Nová Paka";Qn7U5oWh-13
SC1_G07;1;IST-16688;"Czech Republic";"Sopka Nová Paka";r6vjTCnL-14
SC1_G07;1;IST-20119;Poland;"7 DH Arkana";IIAQFP5S-14
SC1_G07;1;IST-20119;Poland;"7 DH Arkana";WUZ1IQoY-15
SC1_G07;1;IST-69112;"Czech Republic";"Dráčata Štěnovice";VK97WFg4-13
SC1_G07;1;IST-69112;"Czech Republic";"Dráčata Štěnovice";VeoHkQv3-14
SC1_G07;1;IST-18955;Poland;"Skalne Nietoperze";JoojgmT0-14
SC1_G07;1;IST-18955;Poland;"Skalne Nietoperze";96xJwphk-15
SC1_G07;1;IST-27230;"The Netherlands";"De Peelspeurders";55H8Ur1a-3
SC1_G07;1;IST-27230;"The Netherlands";"De Peelspeurders";CkAf2Yfg-4
SC1_G08;1;IST-69112;"Czech Republic";"Dráčata Štěnovice";VlEWdoC4-3
